instance,n,scenario_file,scenario_type,n_failures,n_actions,target_total,target_achieved,target_recovery_pct,nominal_profit,adaptive_profit,profit_loss_pct,nominal_time,adaptive_time,time_diff_pct,nominal_score,adaptive_score,score_loss_pct,n_bypass,n_change_tool,n_destroy,n_replan,n_fallback,n_destroyed_comps,n_skipped_comps,grasp_time,adapt_time,error
scholl_arc111_n=111,111,scenario_complex_scholl_arc111_n=111.json,complex,3,5,1,1,100.0,2131.0,2081.0,2.3,150399.0,150384.0,0.0,209.0,201.73,3.5,3,0,0,0,2,1,1,0.47,0.195,
scholl_arc111_n=111,111,scenario_intermediate_scholl_arc111_n=111.json,intermediate,2,3,1,1,100.0,2131.0,2107.0,1.1,150399.0,149994.0,0.3,209.0,202.35,3.2,0,1,1,0,1,0,1,0.35,0.04,
scholl_arc111_n=111,111,scenario_simple_scholl_arc111_n=111.json,simple,1,1,1,1,100.0,2131.0,2118.0,0.6,150399.0,150337.0,0.0,209.0,204.88,2.0,1,0,0,0,0,0,1,0.685,0.014,
scholl_arc83_n=83,83,scenario_complex_scholl_arc83_n=83.json,complex,3,4,1,1,100.0,1594.0,1594.0,0.0,75707.0,75707.0,0.0,278.98,278.98,0.0,1,2,0,0,1,0,0,0.247,0.051,
scholl_arc83_n=83,83,scenario_intermediate_scholl_arc83_n=83.json,intermediate,2,2,1,1,100.0,1594.0,1551.0,2.7,75707.0,74045.0,2.2,278.98,270.18,3.2,2,0,0,0,0,0,2,0.202,0.028,
scholl_arc83_n=83,83,scenario_simple_scholl_arc83_n=83.json,simple,1,2,1,1,100.0,1594.0,1573.0,1.3,75707.0,74915.0,1.0,278.98,274.62,1.6,0,0,1,0,1,0,1,0.223,0.029,
scholl_barthold_n=148,148,scenario_complex_scholl_barthold_n=148.json,complex,3,5,1,1,100.0,1109.0,1047.0,5.6,1714.0,1679.0,2.0,363.95,346.09,4.9,2,0,1,0,2,1,2,0.145,0.098,
scholl_barthold_n=148,148,scenario_intermediate_scholl_barthold_n=148.json,intermediate,2,2,1,1,100.0,1109.0,1091.0,1.6,1714.0,1703.0,0.6,363.95,357.99,1.6,0,0,1,0,1,0,1,0.199,0.015,
scholl_barthold_n=148,148,scenario_simple_scholl_barthold_n=148.json,simple,1,1,1,1,100.0,1109.0,1109.0,0.0,1714.0,1714.0,0.0,363.95,363.95,0.0,0,1,0,0,0,0,0,0.154,0.02,
scholl_gunther_n=35,35,scenario_complex_scholl_gunther_n=35.json,complex,3,3,1,1,100.0,523.0,477.0,8.8,428.0,387.0,9.6,172.91,157.71,8.8,3,0,0,0,0,0,3,0.209,0.055,
