instance,algorithm,profit_closure,makespan_closure,score_dsp,time,status,gap,targets,seq_length_closure,violations_règles,rel_err_profit_vs_milp_closure
small_40,MILP_full_profit,132.0,12.0,78.0,0.7284708023071289,Optimal,0.61%,2,"['C001', 'C007', 'C009', 'C005', 'C008', 'C012', 'C010', 'C011', 'C026', 'C018', 'C025', 'C032']",0,
small_40,grasp_vnd,132.0,12.0,78.0,0.03932833671569824,Completed,0.00%,2,"['C009', 'C005', 'C010', 'C001', 'C008', 'C011', 'C026', 'C007', 'C018', 'C012', 'C025', 'C032']",0,0.0
small_40,grasp_tabu,132.0,12.0,78.0,0.5318174362182617,Completed,0.00%,2,"['C005', 'C009', 'C008', 'C010', 'C007', 'C001', 'C018', 'C011', 'C026', 'C012', 'C025', 'C032']",0,0.0
small_40,grasp_mns,132.0,12.0,78.0,0.013003110885620117,Completed,0.00%,2,"['C001', 'C007', 'C008', 'C011', 'C012', 'C005', 'C009', 'C010', 'C018', 'C026', 'C025', 'C032']",0,0.0
small_40,dijkstra_closure_min,12.0,1.0,1.0,1.0,Completed,90.91%,2,['C001'],0,0.9090909090909091
